loan_id,customer_id,loan_type,amount,interest_rate,term_months,issue_date,branch,status,risk_score
91,628,Кредитная карта,270000.0,18.38,36,2023-10-31,Отделение №12,Активен,0.866
92,470,Потребительский,523000.0,18.37,36,2025-02-23,Отделение №2,Активен,0.644
93,534,Потребительский,514000.0,16.1,12,2025-03-13,Отделение №9,Активен,0.751
94,782,Кредитная карта,62000.0,24.21,36,2023-04-23,Отделение №4,Активен,0.275
95,437,Потребительский,579000.0,21.35,48,2023-06-21,Отделение №7,Активен,0.607
96,33,Автокредит,1678000.0,14.54,24,2023-11-28,Отделение №14,Закрыт,0.415
97,142,Автокредит,1393000.0,24.53,24,2022-08-23,Отделение №5,Закрыт,0.542
98,178,Потребительский,242000.0,12.15,12,2024-01-10,Отделение №3,Закрыт,0.407
99,468,Потребительский,771000.0,19.62,24,2023-10-03,Отделение №2,Закрыт,0.298
100,793,Потребительский,360000.0,13.41,36,2023-06-13,Отделение №2,Активен,0.828
101,48,Потребительский,230000.0,15.86,24,2024-10-06,Отделение №2,Активен,0.504
102,719,Потребительский,289000.0,15.41,48,2024-10-10,Отделение №4,Активен,0.407
103,299,Кредитная карта,35000.0,18.92,36,2025-11-06,Отделение №9,Активен,0.246
104,144,Вексель,715000.0,8.04,12,2024-07-02,Отделение №4,Закрыт,0.636
105,443,Вексель,798000.0,16.39,6,2023-09-07,Отделение №15,Закрыт,0.424
106,51,Автокредит,509000.0,11.82,60,2025-06-25,Отделение №1,Активен,0.972
107,485,Потребительский,741000.0,11.12,36,2025-06-30,Отделение №6,Активен,0.68
108,50,Вексель,1142000.0,9.47,9,2023-05-13,Отделение №2,Закрыт,0.534
109,683,Потребительский,346000.0,19.84,12,2025-05-07,Отделение №15,Активен,0.999
110,166,Ипотека,8104000.0,23.9,240,2025-10-28,Отделение №13,Активен,0.635
111,574,Вексель,1438000.0,10.38,9,2024-04-26,Отделение №6,Закрыт,0.959
112,788,Потребительский,569000.0,15.27,12,2025-05-31,Отделение №11,Активен,0.901
113,463,Потребительский,467000.0,16.4,48,2025-06-19,Отделение №11,Активен,0.787
114,633,Вексель,2739000.0,8.77,12,2025-10-08,Отделение №7,Активен,0.972
115,590,Вексель,1854000.0,24.6,6,2025-11-28,Отделение №6,Активен,0.125
116,359,Кредитная карта,150000.0,20.45,12,2024-10-23,Отделение №12,Закрыт,0.681
117,517,Ипотека,2900000.0,10.81,240,2023-05-12,Отделение №6,Активен,0.494
118,580,Потребительский,420000.0,10.11,24,2024-08-06,Отделение №7,Активен,0.821
119,694,Потребительский,258000.0,16.65,48,2024-04-17,Отделение №10,Активен,0.66
120,94,Вексель,3055000.0,17.32,6,2023-11-12,Отделение №3,Закрыт,0.746
121,497,Потребительский,477000.0,19.91,24,2024-12-07,Отделение №14,Активен,0.274
122,138,Вексель,4961000.0,16.81,9,2025-10-26,Отделение №7,Активен,0.454
123,784,Автокредит,2852000.0,14.46,24,2023-10-24,Отделение №5,Закрыт,0.995
124,360,Потребительский,439000.0,16.02,48,2024-01-11,Отделение №12,Просрочен,0.043
125,792,Потребительский,258000.0,14.76,48,2024-12-26,Отделение №4,Просрочен,0.005
126,256,Потребительский,710000.0,24.5,12,2023-04-08,Отделение №2,Закрыт,0.424
127,263,Кредитная карта,83000.0,7.66,24,2023-09-29,Отделение №1,Закрыт,0.625
128,325,Ипотека,10081000.0,11.05,240,2023-05-28,Отделение №6,Активен,0.474
129,455,Вексель,4126000.0,20.77,6,2024-11-28,Отделение №13,Закрыт,0.62
130,278,Потребительский,385000.0,24.43,12,2025-04-17,Отделение №7,Активен,0.917
131,338,Потребительский,686000.0,7.64,12,2025-03-25,Отделение №1,Активен,0.802
132,194,Потребительский,520000.0,18.97,12,2025-12-10,Отделение №5,Активен,0.559
133,789,Вексель,2068000.0,22.41,12,2023-04-23,Отделение №10,Закрыт,0.787
134,359,Потребительский,338000.0,17.89,48,2025-06-24,Отделение №11,Активен,0.34
135,570,Вексель,2325000.0,10.04,9,2025-04-18,Отделение №10,Активен,0.103
136,262,Вексель,3005000.0,8.82,6,2025-03-19,Отделение №6,Закрыт,0.509
137,555,Ипотека,9246000.0,10.97,300,2025-03-30,Отделение №1,Активен,0.797
138,768,Потребительский,488000.0,17.24,36,2023-09-30,Отделение №3,Активен,0.541
139,738,Потребительский,282000.0,13.29,36,2024-06-20,Отделение №10,Просрочен,0.008
140,193,Вексель,809000.0,21.57,6,2024-11-04,Отделение №1,Закрыт,0.559
141,425,Ипотека,3954000.0,23.22,180,2025-11-13,Отделение №6,Активен,0.785
142,310,Потребительский,407000.0,19.24,48,2025-05-13,Отделение №10,Активен,0.852
143,182,Кредитная карта,196000.0,9.49,24,2024-06-21,Отделение №13,Активен,0.454
144,478,Кредитная карта,164000.0,10.6,12,2025-08-01,Отделение №10,Активен,0.23
145,608,Потребительский,411000.0,10.28,36,2024-02-09,Отделение №1,Активен,0.184
146,176,Ипотека,2737000.0,8.62,120,2025-02-10,Отделение №4,Активен,0.291
147,633,Автокредит,2773000.0,24.45,48,2024-02-18,Отделение №5,Активен,0.199
148,621,Потребительский,714000.0,22.09,24,2023-11-27,Отделение №4,Закрыт,0.246
149,491,Потребительский,682000.0,21.8,12,2023-11-03,Отделение №11,Закрыт,0.137
150,253,Вексель,644000.0,14.89,6,2024-02-27,Отделение №6,Закрыт,0.37
151,231,Вексель,4712000.0,7.7,12,2025-12-27,Отделение №15,Активен,0.144
152,208,Потребительский,192000.0,13.39,48,2025-11-23,Отделение №11,Активен,0.6
153,394,Потребительский,85000.0,11.91,24,2025-01-01,Отделение №4,Активен,0.149
154,631,Потребительский,647000.0,24.32,24,2024-11-06,Отделение №4,Активен,0.886
155,499,Вексель,3945000.0,15.86,3,2022-12-09,Отделение №11,Закрыт,0.751
156,333,Вексель,1934000.0,12.42,12,2023-06-08,Отделение №12,Закрыт,0.374
157,160,Ипотека,11558000.0,17.19,300,2025-06-15,Отделение №13,Активен,0.638
158,279,Автокредит,495000.0,14.82,36,2025-09-03,Отделение №4,Активен,0.234
159,365,Потребительский,717000.0,11.18,24,2025-07-16,Отделение №13,Дефолт,0.085
160,390,Потребительский,383000.0,17.24,36,2024-07-09,Отделение №10,Активен,0.465
161,290,Потребительский,388000.0,13.26,48,2025-01-11,Отделение №5,Активен,0.498
162,661,Ипотека,3796000.0,18.37,180,2025-01-18,Отделение №2,Активен,0.359
163,684,Потребительский,426000.0,23.55,12,2023-12-14,Отделение №2,Закрыт,0.098
164,387,Ипотека,7460000.0,18.92,240,2023-05-28,Отделение №12,Активен,0.25
165,30,Вексель,3449000.0,19.48,9,2025-02-07,Отделение №14,Закрыт,0.998
166,399,Вексель,3725000.0,20.67,9,2025-01-28,Отделение №6,Закрыт,0.282
167,245,Вексель,2079000.0,20.44,12,2025-04-02,Отделение №11,Просрочен,0.012
168,328,Автокредит,2379000.0,10.69,36,2024-11-15,Отделение №4,Активен,0.723
169,345,Ипотека,7158000.0,12.77,300,2024-11-11,Отделение №14,Дефолт,0.086
170,419,Потребительский,628000.0,14.57,48,2024-03-30,Отделение №1,Активен,0.853
171,556,Ипотека,7775000.0,23.86,180,2025-12-05,Отделение №13,Просрочен,0.01
172,580,Вексель,1838000.0,14.33,6,2024-08-06,Отделение №13,Закрыт,0.753
173,60,Вексель,2734000.0,6.93,9,2025-04-17,Отделение №15,Активен,0.785
174,768,Потребительский,783000.0,18.09,36,2025-03-09,Отделение №10,Активен,0.603
175,152,Автокредит,1416000.0,23.96,60,2025-03-25,Отделение №7,Дефолт,0.064
176,308,Потребительский,131000.0,22.96,48,2025-08-01,Отделение №2,Дефолт,0.093
177,777,Вексель,970000.0,9.94,12,2023-09-29,Отделение №7,Просрочен,0.069
178,356,Потребительский,225000.0,7.56,12,2025-06-13,Отделение №3,Активен,0.519
179,597,Потребительский,732000.0,24.71,48,2024-02-17,Отделение №7,Активен,0.129
180,331,Ипотека,2688000.0,22.52,180,2024-03-20,Отделение №14,Активен,0.31
181,231,Вексель,2426000.0,10.23,9,2025-09-21,Отделение №8,Активен,0.717
182,69,Потребительский,56000.0,7.68,24,2025-03-31,Отделение №13,Активен,0.399
183,23,Потребительский,297000.0,15.01,48,2024-07-31,Отделение №2,Просрочен,0.039
184,354,Потребительский,711000.0,19.39,48,2023-12-12,Отделение №5,Активен,0.712
185,535,Ипотека,10234000.0,11.08,180,2024-04-30,Отделение №12,Активен,0.9
186,608,Ипотека,5847000.0,16.96,180,2025-12-01,Отделение №1,Активен,0.394
187,704,Потребительский,703000.0,16.39,36,2025-07-10,Отделение №2,Активен,0.667
188,378,Вексель,3640000.0,14.07,6,2025-09-17,Отделение №2,Активен,0.762
189,372,Кредитная карта,51000.0,20.6,12,2025-10-04,Отделение №8,Активен,0.326
190,267,Потребительский,206000.0,6.99,12,2024-08-04,Отделение №11,Закрыт,0.639
191,85,Вексель,1968000.0,13.8,12,2023-02-03,Отделение №2,Просрочен,0.011
192,240,Вексель,769000.0,14.99,12,2025-06-18,Отделение №11,Дефолт,0.083
193,224,Потребительский,763000.0,21.6,24,2024-11-05,Отделение №3,Активен,0.842
194,166,Вексель,3074000.0,8.78,6,2023-08-26,Отделение №3,Закрыт,0.741
195,756,Потребительский,623000.0,14.61,36,2022-11-15,Отделение №12,Закрыт,0.178
196,753,Потребительский,556000.0,19.32,24,2024-11-03,Отделение №13,Активен,0.837
197,62,Автокредит,2123000.0,19.2,24,2024-05-16,Отделение №10,Активен,0.444
198,571,Потребительский,629000.0,13.39,24,2023-05-27,Отделение №2,Закрыт,0.239
199,323,Потребительский,71000.0,21.6,12,2023-11-30,Отделение №2,Закрыт,0.68
200,554,Потребительский,712000.0,7.31,24,2022-12-09,Отделение №14,Закрыт,0.513
201,91,Потребительский,472000.0,10.31,24,2025-09-27,Отделение №7,Активен,0.542
202,685,Потребительский,210000.0,9.69,36,2025-10-11,Отделение №6,Активен,0.402
203,406,Потребительский,210000.0,18.61,24,2024-12-08,Отделение №10,Активен,0.278
204,535,Ипотека,2673000.0,12.05,180,2024-04-21,Отделение №2,Активен,0.599
205,673,Вексель,3977000.0,24.15,6,2023-12-04,Отделение №11,Закрыт,0.6
206,649,Вексель,3422000.0,9.73,6,2023-11-12,Отделение №12,Закрыт,0.762
207,621,Потребительский,689000.0,12.67,48,2023-01-03,Отделение №10,Активен,0.609
208,725,Ипотека,7110000.0,17.31,180,2025-11-11,Отделение №4,Активен,0.988
209,142,Потребительский,619000.0,10.85,12,2023-09-25,Отделение №4,Закрыт,0.428
210,471,Автокредит,556000.0,11.96,48,2024-10-18,Отделение №4,Активен,0.152
211,720,Автокредит,1019000.0,8.97,60,2025-01-25,Отделение №13,Активен,0.318
212,664,Вексель,2652000.0,21.45,12,2025-08-20,Отделение №4,Активен,0.751
213,342,Вексель,1723000.0,16.42,6,2023-02-26,Отделение №11,Закрыт,0.907
214,155,Кредитная карта,246000.0,17.69,36,2025-03-05,Отделение №6,Активен,0.381
215,271,Потребительский,522000.0,7.79,12,2025-07-31,Отделение №11,Активен,0.192
216,195,Кредитная карта,283000.0,9.7,12,2023-06-26,Отделение №13,Закрыт,0.549
217,767,Кредитная карта,94000.0,19.84,12,2024-10-20,Отделение №12,Закрыт,0.311
218,533,Потребительский,368000.0,11.75,24,2023-09-13,Отделение №11,Закрыт,0.448
219,55,Потребительский,697000.0,24.0,48,2022-10-15,Отделение №7,Активен,0.36
220,157,Потребительский,381000.0,21.58,48,2022-11-16,Отделение №1,Активен,0.794
221,202,Вексель,2194000.0,17.45,3,2025-05-21,Отделение №12,Закрыт,0.153
222,101,Потребительский,335000.0,11.71,36,2024-07-17,Отделение №8,Активен,0.562
223,562,Потребительский,152000.0,9.35,48,2025-01-05,Отделение №1,Активен,0.19
224,188,Кредитная карта,227000.0,13.94,24,2025-04-20,Отделение №7,Активен,0.416
225,230,Кредитная карта,131000.0,18.3,24,2023-10-14,Отделение №7,Закрыт,0.588
226,10,Кредитная карта,298000.0,23.65,12,2025-05-21,Отделение №13,Активен,0.162
227,671,Ипотека,4553000.0,19.55,240,2024-11-09,Отделение №6,Активен,0.635
228,677,Вексель,3289000.0,10.96,12,2024-03-21,Отделение №14,Просрочен,0.035
229,166,Ипотека,9066000.0,18.75,120,2025-11-29,Отделение №10,Активен,0.148
230,524,Ипотека,8811000.0,17.58,240,2024-12-31,Отделение №14,Активен,0.952
231,722,Потребительский,138000.0,19.59,12,2025-08-12,Отделение №12,Активен,0.384
232,703,Автокредит,2743000.0,9.55,36,2024-05-16,Отделение №12,Активен,0.427
233,381,Потребительский,776000.0,12.17,48,2025-04-15,Отделение №15,Активен,0.412
234,230,Кредитная карта,265000.0,17.04,12,2025-07-26,Отделение №14,Активен,0.798
235,264,Потребительский,612000.0,12.17,48,2025-12-02,Отделение №14,Активен,0.987
236,700,Ипотека,2969000.0,14.17,300,2024-12-11,Отделение №7,Активен,0.288
237,147,Потребительский,331000.0,15.45,24,2023-05-22,Отделение №2,Закрыт,0.503
238,713,Ипотека,10144000.0,7.59,180,2025-07-09,Отделение №13,Активен,0.183
239,121,Потребительский,787000.0,18.03,48,2024-06-21,Отделение №14,Активен,0.624
240,28,Автокредит,608000.0,8.79,24,2025-07-09,Отделение №1,Дефолт,0.064
241,189,Автокредит,1643000.0,7.62,24,2025-06-02,Отделение №1,Активен,0.752
242,330,Вексель,3967000.0,10.38,3,2024-12-15,Отделение №7,Закрыт,0.792
243,453,Автокредит,2966000.0,15.21,48,2024-11-27,Отделение №7,Активен,0.337
244,186,Потребительский,561000.0,21.53,36,2023-10-08,Отделение №11,Активен,0.941
245,719,Ипотека,8108000.0,21.34,240,2024-10-10,Отделение №14,Просрочен,0.003
246,414,Вексель,3654000.0,17.58,6,2023-02-13,Отделение №5,Закрыт,0.869
247,622,Кредитная карта,233000.0,14.82,12,2024-01-25,Отделение №14,Закрыт,0.686
248,127,Ипотека,6131000.0,24.65,180,2024-07-10,Отделение №14,Активен,0.958
249,231,Потребительский,525000.0,18.97,12,2025-09-21,Отделение №8,Активен,0.234
250,158,Ипотека,8126000.0,14.37,120,2024-06-06,Отделение №15,Активен,0.931
251,349,Ипотека,8583000.0,11.91,120,2025-07-10,Отделение №3,Активен,0.195
252,533,Кредитная карта,267000.0,7.08,36,2024-10-30,Отделение №2,Активен,0.498
253,100,Потребительский,555000.0,22.99,48,2025-08-06,Отделение №8,Активен,0.955
254,419,Вексель,1280000.0,20.36,6,2024-03-30,Отделение №2,Закрыт,0.66
255,365,Потребительский,795000.0,23.59,12,2025-07-16,Отделение №7,Активен,0.327
256,37,Вексель,1180000.0,15.26,9,2025-09-25,Отделение №2,Активен,0.898
257,67,Вексель,4621000.0,21.14,12,2022-07-05,Отделение №4,Закрыт,0.333
258,169,Кредитная карта,237000.0,18.35,36,2025-08-15,Отделение №12,Активен,0.377
259,18,Вексель,3653000.0,10.61,12,2025-06-01,Отделение №2,Активен,0.116
260,136,Потребительский,305000.0,17.04,24,2023-09-04,Отделение №6,Закрыт,0.127
261,345,Кредитная карта,186000.0,7.64,12,2024-11-11,Отделение №14,Закрыт,0.536
262,369,Ипотека,6237000.0,23.68,240,2025-10-23,Отделение №11,Активен,0.126
263,233,Автокредит,978000.0,16.4,60,2022-07-25,Отделение №3,Активен,0.461
264,266,Вексель,1554000.0,19.01,6,2024-10-20,Отделение №5,Закрыт,0.147
265,769,Потребительский,549000.0,12.39,12,2025-05-11,Отделение №12,Активен,0.502
266,131,Потребительский,798000.0,21.75,48,2025-07-16,Отделение №12,Активен,0.495
267,342,Кредитная карта,46000.0,21.73,24,2022-11-09,Отделение №12,Закрыт,0.211
268,249,Кредитная карта,91000.0,23.49,36,2025-09-27,Отделение №14,Активен,0.776
269,96,Ипотека,5918000.0,16.58,180,2022-03-21,Отделение №11,Активен,0.337
270,732,Ипотека,5483000.0,7.82,300,2025-11-25,Отделение №5,Активен,0.727
271,702,Вексель,1056000.0,8.91,12,2024-07-10,Отделение №10,Закрыт,0.752
272,614,Кредитная карта,45000.0,14.92,36,2025-11-28,Отделение №3,Активен,0.164
273,238,Ипотека,6824000.0,10.51,180,2025-10-13,Отделение №12,Активен,0.748
274,155,Вексель,1875000.0,20.95,3,2025-10-21,Отделение №7,Активен,0.858
275,523,Кредитная карта,145000.0,8.27,12,2023-08-08,Отделение №3,Закрыт,0.974
276,345,Кредитная карта,62000.0,12.73,36,2025-08-24,Отделение №3,Активен,0.434
277,340,Автокредит,1450000.0,10.93,24,2022-12-18,Отделение №12,Закрыт,0.489
278,548,Автокредит,848000.0,24.74,60,2025-11-17,Отделение №2,Активен,0.671
279,26,Вексель,4338000.0,18.13,12,2024-01-12,Отделение №1,Закрыт,0.445
280,237,Потребительский,112000.0,18.81,48,2025-08-06,Отделение №1,Активен,0.51
281,146,Автокредит,2967000.0,19.26,60,2023-07-15,Отделение №10,Дефолт,0.095
282,617,Потребительский,413000.0,17.01,48,2024-10-20,Отделение №2,Дефолт,0.099
283,94,Вексель,4325000.0,21.46,6,2024-04-10,Отделение №9,Просрочен,0.02
284,222,Вексель,3939000.0,16.05,12,2025-02-02,Отделение №12,Активен,0.585
285,250,Вексель,3293000.0,23.02,6,2025-10-19,Отделение №10,Активен,0.181
286,691,Вексель,126000.0,8.76,12,2024-09-29,Отделение №4,Закрыт,0.129
287,326,Вексель,530000.0,8.06,9,2023-07-12,Отделение №5,Закрыт,0.125
288,796,Ипотека,7444000.0,6.5,300,2025-09-09,Отделение №9,Активен,0.301
289,518,Кредитная карта,109000.0,9.07,36,2025-07-30,Отделение №6,Активен,0.49
290,203,Автокредит,2964000.0,16.4,48,2025-10-12,Отделение №2,Активен,0.21
291,548,Вексель,319000.0,9.11,3,2025-03-01,Отделение №4,Закрыт,0.856
292,390,Кредитная карта,193000.0,13.11,12,2025-04-26,Отделение №10,Активен,0.128
293,333,Ипотека,7498000.0,18.46,240,2024-02-21,Отделение №8,Активен,0.163
294,178,Потребительский,241000.0,9.14,48,2025-11-23,Отделение №11,Активен,0.204
295,639,Вексель,4977000.0,16.87,6,2025-05-07,Отделение №9,Закрыт,0.648
296,771,Автокредит,1491000.0,24.76,36,2024-02-24,Отделение №1,Активен,0.434
297,353,Кредитная карта,97000.0,16.28,24,2025-04-26,Отделение №7,Активен,0.684
298,646,Потребительский,530000.0,20.82,36,2023-11-15,Отделение №13,Активен,0.146
299,449,Потребительский,57000.0,13.47,48,2024-04-18,Отделение №15,Активен,0.105
300,120,Потребительский,445000.0,21.61,36,2025-11-27,Отделение №9,Активен,0.49
301,612,Потребительский,479000.0,11.49,36,2025-02-03,Отделение №1,Дефолт,0.099
302,491,Потребительский,760000.0,12.85,48,2023-11-03,Отделение №13,Активен,0.741
303,40,Автокредит,1946000.0,17.4,60,2024-09-03,Отделение №11,Активен,0.259
304,531,Автокредит,804000.0,13.47,36,2024-07-28,Отделение №1,Активен,0.735
305,509,Кредитная карта,203000.0,20.81,24,2025-12-19,Отделение №7,Активен,0.678
306,340,Вексель,997000.0,15.74,9,2024-08-17,Отделение №7,Закрыт,0.276
307,34,Автокредит,2268000.0,18.2,36,2024-11-05,Отделение №5,Дефолт,0.087
308,553,Ипотека,5127000.0,7.96,120,2025-07-23,Отделение №2,Активен,0.73
309,49,Потребительский,93000.0,23.6,36,2025-02-08,Отделение №1,Активен,0.808
310,357,Кредитная карта,144000.0,15.33,36,2025-04-03,Отделение №11,Активен,0.515
311,261,Кредитная карта,218000.0,17.84,24,2022-03-10,Отделение №12,Закрыт,0.911
312,191,Потребительский,369000.0,24.79,36,2023-05-16,Отделение №15,Активен,0.661
313,372,Вексель,4414000.0,14.76,3,2025-10-04,Отделение №15,Активен,0.169
314,70,Кредитная карта,171000.0,7.88,12,2024-05-08,Отделение №9,Закрыт,0.839
