transaction_id,account_id,transaction_date,transaction_type,amount,channel
105,271,2025-10-30,Пополнение,24380.72,Онлайн
106,114,2023-11-24,Оплата услуг,-41111.99,Колл-центр
107,264,2023-09-06,Перевод,-99162.0,Банкомат
108,581,2025-01-12,Погашение кредита,-89515.54,Колл-центр
109,124,2025-05-17,Перевод,-66250.88,Отделение
110,429,2024-08-26,Списание,-97841.76,Колл-центр
111,723,2025-03-30,Погашение кредита,-121834.92,Банкомат
112,776,2024-04-17,Пополнение,9361.06,Банкомат
113,632,2025-12-26,Пополнение,39311.37,Онлайн
114,336,2025-09-23,Списание,-128523.49,Колл-центр
115,809,2025-11-05,Списание,-137626.72,Отделение
116,771,2025-11-07,Перевод,-143687.52,Отделение
117,132,2025-03-11,Перевод,-111074.51,Онлайн
118,339,2023-12-16,Погашение кредита,-13950.15,Банкомат
119,792,2025-01-16,Перевод,-135632.54,Отделение
120,151,2025-05-01,Погашение кредита,-96064.86,Колл-центр
121,239,2024-02-13,Перевод,-30997.1,Онлайн
122,554,2025-10-24,Пополнение,138153.24,Колл-центр
123,745,2023-10-11,Оплата услуг,-63223.61,Колл-центр
124,358,2023-08-10,Пополнение,56767.46,Колл-центр
125,778,2025-03-29,Оплата услуг,-136987.58,Онлайн
126,362,2025-06-03,Пополнение,77927.13,Колл-центр
127,387,2025-07-21,Пополнение,57986.47,Онлайн
128,93,2024-06-13,Пополнение,127455.74,Банкомат
129,481,2025-09-26,Пополнение,52629.44,Онлайн
130,140,2024-08-29,Пополнение,135078.71,Банкомат
131,947,2024-08-16,Списание,-109126.65,Отделение
132,906,2025-05-17,Оплата услуг,-6806.17,Банкомат
133,971,2025-12-30,Пополнение,28249.51,Колл-центр
134,904,2025-12-08,Погашение кредита,-139267.71,Колл-центр
135,479,2025-12-24,Списание,-95902.98,Онлайн
136,441,2025-07-09,Пополнение,83216.79,Онлайн
137,316,2025-11-30,Погашение кредита,-82289.79,Отделение
138,137,2025-12-22,Пополнение,127599.95,Колл-центр
139,945,2025-08-08,Погашение кредита,-90755.73,Колл-центр
140,172,2025-07-30,Перевод,-24756.21,Онлайн
141,96,2025-11-05,Пополнение,43030.45,Банкомат
142,163,2023-12-07,Списание,-38756.75,Онлайн
143,873,2025-08-29,Оплата услуг,-33581.13,Колл-центр
144,721,2023-11-13,Списание,-105892.38,Колл-центр
145,130,2024-07-04,Перевод,-86906.52,Отделение
146,459,2025-12-02,Перевод,-111032.17,Банкомат
147,846,2025-10-01,Перевод,-99022.78,Колл-центр
148,537,2024-01-05,Оплата услуг,-105408.68,Отделение
149,45,2025-12-18,Списание,-4501.47,Банкомат
150,969,2025-11-10,Оплата услуг,-86302.27,Отделение
151,9,2025-10-30,Оплата услуг,-65295.36,Колл-центр
152,596,2025-05-09,Пополнение,6246.11,Отделение
153,784,2025-03-12,Погашение кредита,-15685.86,Онлайн
154,818,2025-07-28,Списание,-85556.12,Отделение
155,739,2025-11-23,Оплата услуг,-111362.78,Отделение
156,714,2025-12-29,Погашение кредита,-94974.47,Колл-центр
157,699,2025-11-14,Пополнение,128218.28,Колл-центр
158,417,2025-06-30,Перевод,-46226.67,Колл-центр
159,564,2025-11-15,Пополнение,136031.8,Банкомат
160,274,2025-10-14,Списание,-13243.47,Онлайн
161,721,2024-10-17,Перевод,-19603.69,Отделение
162,153,2025-12-17,Списание,-57077.5,Банкомат
163,503,2024-11-18,Погашение кредита,-3696.24,Отделение
164,386,2025-11-13,Перевод,-51915.82,Банкомат
165,544,2024-04-07,Погашение кредита,-52486.17,Отделение
166,432,2025-01-31,Оплата услуг,-56150.45,Банкомат
167,969,2025-08-15,Перевод,-96208.28,Колл-центр
168,541,2025-12-21,Оплата услуг,-114614.98,Банкомат
169,933,2024-10-23,Оплата услуг,-108465.84,Колл-центр
170,47,2025-10-19,Перевод,-68920.36,Отделение
171,813,2025-09-19,Перевод,-84107.6,Банкомат
172,307,2025-10-31,Списание,-49672.65,Отделение
173,200,2025-04-20,Перевод,-140744.06,Банкомат
174,331,2025-09-17,Оплата услуг,-119007.79,Онлайн
175,233,2024-09-24,Оплата услуг,-120854.12,Отделение
176,394,2025-09-13,Оплата услуг,-88430.48,Отделение
177,254,2025-01-19,Погашение кредита,-102910.74,Колл-центр
178,442,2024-09-22,Списание,-31512.03,Колл-центр
179,474,2025-10-14,Перевод,-101860.81,Онлайн
180,93,2023-08-29,Пополнение,123025.91,Банкомат
181,441,2025-08-27,Пополнение,65760.97,Онлайн
182,727,2025-04-15,Пополнение,51504.8,Онлайн
183,658,2025-04-26,Перевод,-21696.62,Банкомат
184,197,2025-08-29,Перевод,-33362.15,Банкомат
185,210,2024-11-14,Списание,-101422.1,Колл-центр
186,56,2025-10-18,Списание,-50189.67,Банкомат
187,529,2025-12-19,Пополнение,46981.48,Колл-центр
188,799,2023-07-25,Пополнение,40813.71,Банкомат
189,337,2025-08-31,Пополнение,59801.29,Отделение
190,925,2025-01-31,Перевод,-132794.57,Онлайн
191,624,2025-12-15,Погашение кредита,-89902.98,Колл-центр
192,502,2023-10-16,Оплата услуг,-21759.67,Отделение
193,878,2025-03-03,Оплата услуг,-135309.72,Отделение
194,662,2025-08-02,Списание,-103793.23,Онлайн
195,6,2025-03-31,Пополнение,106842.38,Онлайн
196,382,2025-07-15,Пополнение,120706.36,Колл-центр
197,899,2023-05-16,Списание,-30509.4,Отделение
198,255,2023-11-10,Погашение кредита,-122317.25,Банкомат
199,495,2025-11-09,Пополнение,79465.32,Банкомат
200,335,2025-12-10,Оплата услуг,-97973.19,Колл-центр
201,382,2023-02-22,Списание,-101612.14,Отделение
202,787,2024-02-03,Списание,-70789.62,Онлайн
203,984,2025-09-14,Пополнение,4905.98,Отделение
204,890,2025-05-29,Оплата услуг,-108785.07,Колл-центр
205,723,2025-08-04,Оплата услуг,-117511.74,Колл-центр
206,896,2025-02-07,Оплата услуг,-51441.8,Колл-центр
207,916,2025-04-13,Перевод,-53690.66,Банкомат
208,303,2024-12-15,Погашение кредита,-132866.66,Отделение
209,437,2025-03-10,Погашение кредита,-16801.85,Банкомат
210,435,2025-12-02,Перевод,-30465.95,Онлайн
211,837,2023-12-04,Пополнение,21128.57,Отделение
212,241,2025-10-27,Перевод,-30972.45,Онлайн
213,441,2025-06-20,Списание,-103733.89,Отделение
214,936,2025-10-29,Списание,-54910.47,Онлайн
215,196,2024-11-11,Погашение кредита,-47372.17,Онлайн
216,646,2025-12-31,Пополнение,21659.77,Банкомат
217,900,2025-07-25,Оплата услуг,-20964.46,Колл-центр
218,458,2025-01-15,Оплата услуг,-66114.45,Онлайн
219,319,2025-10-22,Пополнение,112003.23,Банкомат
220,930,2024-03-16,Погашение кредита,-71731.29,Отделение
221,72,2025-01-29,Оплата услуг,-143885.72,Отделение
222,547,2025-11-07,Списание,-68084.25,Колл-центр
223,510,2024-10-17,Пополнение,26304.88,Банкомат
224,398,2024-08-23,Оплата услуг,-85104.48,Колл-центр
225,61,2025-12-23,Списание,-51862.52,Онлайн
226,431,2024-02-06,Списание,-111130.94,Банкомат
227,936,2025-12-22,Погашение кредита,-31095.52,Колл-центр
228,598,2025-11-01,Пополнение,24289.04,Отделение
229,563,2025-12-09,Перевод,-79702.12,Онлайн
230,315,2024-07-08,Погашение кредита,-53863.83,Онлайн
231,154,2025-01-07,Перевод,-93816.12,Онлайн
232,401,2025-12-29,Погашение кредита,-41589.52,Колл-центр
233,312,2025-07-05,Перевод,-64997.34,Банкомат
234,522,2024-12-01,Списание,-123735.03,Онлайн
235,667,2025-11-26,Перевод,-11068.04,Банкомат
236,611,2025-09-14,Перевод,-130978.75,Колл-центр
237,968,2025-12-28,Погашение кредита,-54948.64,Банкомат
238,945,2025-10-05,Пополнение,118161.96,Колл-центр
239,86,2025-09-06,Оплата услуг,-89947.62,Банкомат
240,481,2025-03-09,Пополнение,134014.89,Банкомат
241,168,2025-06-22,Оплата услуг,-140845.11,Отделение
242,46,2024-10-26,Оплата услуг,-21659.27,Банкомат
243,668,2024-09-02,Списание,-136156.48,Онлайн
244,52,2025-07-22,Перевод,-99971.5,Колл-центр
245,530,2025-09-29,Пополнение,124332.61,Колл-центр
246,76,2025-08-05,Перевод,-105217.81,Колл-центр
247,530,2025-02-15,Списание,-16055.71,Онлайн
248,486,2025-03-14,Перевод,-2084.01,Колл-центр
249,855,2025-12-09,Погашение кредита,-19299.9,Онлайн
250,598,2025-04-19,Перевод,-52637.52,Банкомат
251,761,2025-12-28,Списание,-73271.8,Банкомат
252,932,2024-11-11,Погашение кредита,-106802.26,Отделение
253,47,2025-06-20,Погашение кредита,-113215.58,Колл-центр
254,936,2025-12-22,Перевод,-138079.84,Банкомат
255,456,2025-08-01,Пополнение,63551.16,Колл-центр
256,10,2025-09-03,Погашение кредита,-10721.41,Банкомат
257,783,2025-11-02,Оплата услуг,-16649.78,Банкомат
258,871,2024-11-29,Оплата услуг,-101665.98,Онлайн
259,835,2024-11-08,Оплата услуг,-84039.76,Банкомат
260,218,2025-10-09,Погашение кредита,-36079.18,Отделение
261,459,2025-10-30,Перевод,-61218.36,Онлайн
262,211,2025-07-19,Погашение кредита,-132414.72,Банкомат
263,743,2023-10-22,Оплата услуг,-17661.75,Онлайн
264,506,2025-07-20,Списание,-88134.46,Колл-центр
265,592,2024-11-07,Списание,-19928.49,Банкомат
266,60,2025-12-21,Погашение кредита,-22458.89,Колл-центр
267,661,2025-11-11,Оплата услуг,-10292.92,Отделение
268,625,2024-07-11,Списание,-96257.62,Колл-центр
269,935,2025-09-06,Перевод,-83794.84,Колл-центр
270,84,2025-11-21,Погашение кредита,-45765.05,Колл-центр
271,717,2025-11-20,Погашение кредита,-94195.46,Колл-центр
272,783,2025-11-01,Списание,-12974.14,Колл-центр
273,159,2025-09-26,Пополнение,52256.17,Колл-центр
274,790,2025-12-21,Пополнение,39128.64,Отделение
275,560,2025-04-06,Погашение кредита,-131283.01,Отделение
276,229,2023-12-09,Перевод,-122092.8,Онлайн
277,816,2025-11-19,Перевод,-20145.44,Онлайн
278,404,2025-07-19,Списание,-72504.99,Колл-центр
279,521,2025-06-08,Пополнение,16767.32,Колл-центр
280,641,2025-06-30,Пополнение,113021.24,Онлайн
281,312,2025-11-24,Погашение кредита,-129366.35,Отделение
282,64,2025-05-27,Пополнение,125560.86,Банкомат
283,219,2025-02-06,Списание,-121883.13,Онлайн
284,128,2025-11-07,Списание,-26231.76,Онлайн
285,584,2025-06-24,Списание,-52375.04,Колл-центр
286,744,2024-11-23,Перевод,-73651.75,Банкомат
287,637,2024-04-27,Погашение кредита,-109765.31,Отделение
288,431,2025-10-21,Погашение кредита,-78221.43,Онлайн
289,177,2022-09-28,Перевод,-132004.91,Онлайн
290,260,2025-10-12,Списание,-70422.3,Онлайн
291,405,2023-12-31,Списание,-46418.99,Отделение
292,690,2025-11-11,Перевод,-129758.03,Колл-центр
293,567,2025-06-17,Перевод,-19273.25,Отделение
294,737,2025-02-06,Оплата услуг,-12313.37,Отделение
295,525,2025-04-18,Списание,-125253.73,Онлайн
296,89,2025-09-21,Погашение кредита,-49561.38,Колл-центр
297,703,2025-11-05,Пополнение,84414.86,Отделение
298,235,2025-04-19,Пополнение,14264.31,Отделение
299,407,2025-11-23,Пополнение,70101.58,Онлайн
300,650,2025-10-05,Оплата услуг,-63700.03,Колл-центр
301,34,2025-10-17,Оплата услуг,-97709.56,Банкомат
302,353,2025-04-02,Списание,-76166.31,Отделение
303,826,2025-12-21,Оплата услуг,-142758.22,Банкомат
304,979,2025-07-18,Погашение кредита,-42126.19,Онлайн
305,161,2025-10-23,Списание,-146581.23,Колл-центр
306,698,2025-12-08,Пополнение,107625.39,Банкомат
307,598,2024-10-19,Списание,-73687.07,Отделение
308,59,2025-10-14,Списание,-100010.94,Онлайн
309,497,2025-12-12,Списание,-106631.97,Банкомат
310,247,2024-01-31,Оплата услуг,-142937.55,Банкомат
311,250,2025-12-23,Оплата услуг,-124604.01,Банкомат
312,566,2024-04-07,Списание,-8366.29,Колл-центр
313,673,2025-05-27,Оплата услуг,-83406.25,Колл-центр
314,117,2024-07-27,Списание,-105211.12,Колл-центр
315,984,2025-10-28,Списание,-42749.0,Банкомат
316,205,2025-08-25,Погашение кредита,-11022.9,Банкомат
317,219,2024-07-30,Погашение кредита,-143438.8,Отделение
318,667,2025-12-27,Погашение кредита,-134939.26,Онлайн
319,488,2024-08-03,Перевод,-18296.43,Колл-центр
320,960,2025-07-09,Оплата услуг,-62165.66,Онлайн
321,555,2025-02-25,Оплата услуг,-108937.19,Колл-центр
322,283,2025-05-03,Оплата услуг,-62206.85,Банкомат
323,81,2025-11-21,Погашение кредита,-135353.46,Отделение
324,721,2023-10-08,Оплата услуг,-16456.42,Банкомат
325,100,2025-05-16,Перевод,-106323.5,Онлайн
326,577,2024-06-17,Погашение кредита,-45877.2,Банкомат
327,793,2025-09-14,Перевод,-28618.84,Банкомат
328,943,2025-12-23,Перевод,-68811.15,Колл-центр
329,585,2025-11-01,Оплата услуг,-11708.27,Отделение
330,422,2025-10-26,Погашение кредита,-126667.29,Банкомат
331,829,2025-11-05,Перевод,-2665.08,Онлайн
332,578,2025-08-16,Погашение кредита,-127652.13,Банкомат
333,278,2025-12-21,Перевод,-108095.39,Колл-центр
334,445,2025-11-12,Списание,-21418.73,Отделение
335,630,2025-12-16,Перевод,-143899.23,Отделение
336,645,2025-12-28,Пополнение,138567.63,Банкомат
337,433,2024-07-08,Списание,-95640.24,Онлайн
338,691,2025-06-24,Оплата услуг,-16090.15,Банкомат
339,64,2025-09-09,Списание,-61582.44,Колл-центр
340,530,2025-10-25,Пополнение,149287.84,Колл-центр
341,352,2025-07-22,Пополнение,100407.4,Онлайн
342,446,2025-12-14,Списание,-82676.97,Онлайн
343,437,2024-09-03,Списание,-1908.7,Колл-центр
344,191,2025-09-30,Оплата услуг,-64405.83,Отделение
345,861,2025-04-12,Списание,-141649.86,Отделение
346,492,2025-07-23,Списание,-44426.67,Банкомат
347,176,2025-12-06,Списание,-148041.67,Колл-центр
348,631,2025-02-12,Оплата услуг,-72555.36,Колл-центр
349,693,2025-11-09,Погашение кредита,-94413.2,Онлайн
350,584,2025-04-17,Оплата услуг,-98971.02,Банкомат
351,941,2025-06-12,Перевод,-125881.22,Отделение
352,97,2025-05-31,Оплата услуг,-71851.77,Банкомат
353,551,2024-12-21,Оплата услуг,-122841.36,Отделение
354,367,2025-11-16,Списание,-11569.02,Банкомат
355,253,2025-10-07,Пополнение,88633.47,Банкомат
356,73,2024-01-30,Оплата услуг,-134160.98,Колл-центр
357,495,2025-11-03,Пополнение,113306.98,Колл-центр
358,397,2025-12-29,Пополнение,8908.37,Отделение
359,493,2025-05-12,Списание,-147156.86,Отделение
360,122,2025-11-22,Списание,-63478.76,Колл-центр
361,353,2024-04-06,Перевод,-40963.87,Колл-центр
362,325,2025-11-12,Пополнение,103025.82,Банкомат
363,946,2025-08-14,Пополнение,46017.09,Онлайн
364,712,2025-12-06,Оплата услуг,-18498.1,Банкомат
365,562,2025-11-04,Оплата услуг,-115331.26,Онлайн
366,143,2024-12-21,Пополнение,10736.87,Онлайн
367,618,2024-12-15,Оплата услуг,-31603.31,Банкомат
368,847,2025-01-08,Оплата услуг,-66265.98,Отделение
369,165,2025-08-22,Оплата услуг,-42601.98,Колл-центр
370,452,2025-12-04,Погашение кредита,-34950.17,Онлайн
371,992,2025-05-14,Пополнение,31758.04,Банкомат
372,876,2025-08-05,Оплата услуг,-10339.0,Отделение
373,583,2025-07-19,Пополнение,30328.95,Онлайн
374,743,2025-02-06,Перевод,-19052.73,Банкомат
375,425,2025-09-04,Списание,-53897.59,Онлайн
376,526,2025-06-11,Пополнение,144977.96,Онлайн
377,283,2025-02-12,Перевод,-90254.32,Онлайн
378,6,2025-08-27,Перевод,-25074.61,Банкомат
379,909,2024-06-20,Списание,-47164.33,Колл-центр
380,629,2025-10-09,Погашение кредита,-110801.94,Онлайн
381,653,2025-07-23,Списание,-37186.0,Колл-центр
382,333,2025-12-28,Оплата услуг,-58500.5,Колл-центр
383,838,2024-12-13,Оплата услуг,-124742.36,Банкомат
384,42,2025-06-24,Списание,-117208.73,Банкомат
385,261,2025-11-29,Списание,-84713.42,Колл-центр
386,319,2025-11-21,Списание,-80156.21,Банкомат
387,288,2025-04-26,Списание,-3397.81,Онлайн
388,432,2025-05-08,Списание,-61238.56,Отделение
389,316,2025-11-23,Погашение кредита,-130915.13,Колл-центр
390,558,2025-08-18,Списание,-57847.32,Колл-центр
391,521,2024-12-14,Погашение кредита,-25193.25,Онлайн
392,57,2025-10-04,Пополнение,52367.99,Банкомат
393,670,2024-12-08,Пополнение,82729.53,Онлайн
394,714,2025-12-27,Списание,-123770.5,Онлайн
395,472,2023-12-29,Оплата услуг,-76501.35,Онлайн
396,707,2024-06-05,Оплата услуг,-124415.41,Колл-центр
397,38,2025-11-30,Оплата услуг,-10907.1,Отделение
398,678,2025-11-22,Погашение кредита,-82990.23,Отделение
399,359,2025-12-18,Пополнение,131210.88,Онлайн
400,735,2024-12-15,Погашение кредита,-145524.48,Колл-центр
401,922,2024-04-15,Оплата услуг,-40618.45,Банкомат
402,274,2025-12-07,Погашение кредита,-112909.75,Отделение
403,140,2025-01-15,Пополнение,31540.29,Онлайн
404,438,2025-11-04,Оплата услуг,-73422.74,Колл-центр
405,144,2025-11-14,Погашение кредита,-130812.66,Отделение
406,997,2025-07-16,Погашение кредита,-70927.91,Отделение
407,815,2025-06-11,Перевод,-51372.23,Колл-центр
408,442,2023-12-27,Списание,-138529.6,Банкомат
409,659,2025-08-28,Оплата услуг,-71598.41,Банкомат
410,315,2024-11-15,Пополнение,104218.73,Банкомат
411,959,2024-07-07,Списание,-68000.61,Отделение
412,649,2025-11-10,Оплата услуг,-107932.57,Банкомат
413,225,2025-12-17,Погашение кредита,-79870.18,Банкомат
414,841,2024-10-14,Оплата услуг,-98273.33,Онлайн
415,153,2025-12-20,Пополнение,122492.52,Банкомат
416,322,2024-11-06,Пополнение,122876.4,Банкомат
417,671,2025-09-01,Оплата услуг,-133994.58,Отделение
418,785,2025-08-03,Перевод,-11370.24,Колл-центр
419,484,2025-09-20,Перевод,-110457.08,Колл-центр
420,843,2023-05-29,Перевод,-9230.63,Колл-центр
421,772,2025-04-17,Погашение кредита,-81780.5,Отделение
422,112,2025-11-17,Погашение кредита,-33656.24,Колл-центр
423,289,2025-10-01,Пополнение,26786.12,Колл-центр
424,297,2025-10-21,Погашение кредита,-142970.03,Онлайн
425,578,2024-12-24,Перевод,-112033.81,Банкомат
426,490,2025-12-07,Списание,-103284.96,Отделение
427,519,2025-11-14,Списание,-45237.87,Банкомат
428,836,2025-07-04,Перевод,-115442.15,Колл-центр
429,535,2025-09-06,Перевод,-11754.12,Банкомат
430,324,2025-11-25,Оплата услуг,-128013.84,Отделение
431,949,2024-10-05,Списание,-80405.09,Онлайн
432,136,2024-12-31,Списание,-144234.84,Отделение
433,664,2025-12-02,Пополнение,56754.9,Колл-центр
434,493,2024-11-19,Погашение кредита,-136409.32,Колл-центр
435,566,2025-10-04,Оплата услуг,-143795.79,Банкомат
436,219,2025-06-24,Оплата услуг,-108556.19,Отделение
437,362,2025-07-08,Оплата услуг,-3882.9,Банкомат
438,48,2025-10-31,Перевод,-70543.66,Колл-центр
439,497,2025-12-11,Оплата услуг,-79086.09,Отделение
440,914,2023-10-27,Погашение кредита,-23421.55,Банкомат
441,929,2024-03-25,Списание,-139987.25,Отделение
442,696,2025-07-09,Погашение кредита,-113099.44,Онлайн
443,185,2025-12-17,Оплата услуг,-27977.38,Отделение
444,158,2025-11-22,Погашение кредита,-37755.74,Онлайн
445,168,2025-08-25,Перевод,-41331.28,Банкомат
446,433,2025-01-19,Пополнение,126528.2,Отделение
447,725,2025-06-08,Погашение кредита,-134651.64,Отделение
448,760,2025-02-22,Перевод,-114920.23,Онлайн
449,200,2025-05-21,Перевод,-60470.09,Онлайн
450,475,2025-05-14,Списание,-75861.93,Колл-центр
451,138,2025-06-04,Списание,-49092.25,Банкомат
452,590,2023-02-19,Перевод,-147581.32,Колл-центр
453,710,2025-12-18,Оплата услуг,-15219.21,Колл-центр
454,92,2025-08-26,Списание,-14038.3,Отделение
455,296,2025-12-22,Пополнение,78771.46,Отделение
456,1000,2025-11-15,Оплата услуг,-136102.01,Банкомат
457,601,2025-05-27,Перевод,-144070.26,Отделение
458,917,2024-12-25,Оплата услуг,-58112.89,Отделение
459,207,2023-11-25,Пополнение,86577.64,Банкомат
460,579,2025-12-15,Оплата услуг,-26728.58,Банкомат
461,1,2025-07-27,Оплата услуг,-139949.71,Отделение
462,600,2025-07-24,Списание,-11889.51,Отделение
463,153,2025-11-20,Пополнение,127819.13,Банкомат
464,137,2025-12-23,Пополнение,15648.54,Отделение
465,385,2025-12-10,Списание,-77219.6,Онлайн
466,871,2024-03-09,Списание,-105209.61,Колл-центр
467,612,2025-05-12,Погашение кредита,-7555.4,Банкомат
468,713,2025-09-22,Оплата услуг,-42336.9,Онлайн
469,151,2023-02-26,Оплата услуг,-121090.76,Отделение
470,856,2025-11-25,Списание,-128795.45,Онлайн
471,678,2024-09-02,Пополнение,9347.25,Онлайн
472,514,2025-11-25,Оплата услуг,-35383.3,Колл-центр
473,724,2025-06-22,Списание,-147712.94,Отделение
474,170,2025-06-17,Перевод,-54552.4,Банкомат
475,659,2024-11-24,Пополнение,43657.62,Онлайн
476,514,2025-11-10,Оплата услуг,-92375.15,Колл-центр
477,770,2024-04-15,Списание,-134280.66,Банкомат
478,877,2025-11-26,Пополнение,95151.46,Банкомат
479,414,2025-09-02,Оплата услуг,-12153.86,Колл-центр
480,459,2025-11-06,Пополнение,111018.0,Онлайн
